attending_school,case_no,casetype,dcps_school_against,home_school
Friends hip Publ ic Charter Schoo l (all campuses),2017-0241,Aga inst LEA,Payne Elementary Schoo l,School (all camp uses)
Friends hip Publ ic Charter Schoo l (all campuses),2017-0241,Aga inst LEA,Moten Elemen tary Schoo l @ Wilkinso n,School (all camp uses)
Friends hip Publ ic Charter Schoo l (all campuses),2017-0241,Expedited NON,Moten Elemen tary Schoo l @ Wilkinso n,Mot en Eleme ntary School@
Cesar Chavez PCS,2017-0242,Expedited NON,Moten Elementary Schoo l @ Wilkins on,Mot en Eleme ntary School@
Cesar Chavez PCS,2017-0242,Discipline,Moten Elementary Schoo l @ Wilkins on,Wi lkinso n
Cesar Chavez PCS,2017-0242,Discipline,Payne Element ary School,Wi lkinso n
Cesar Chavez PCS,2017-0242,Discipline,Payne Elementary School,Wi lkinso n
Cesar Chavez PCS,2017-0242,Discipline,Payne Elementary Schoo l,Wi lkinso n
Kimball Elementary,2017-0243,Aga inst LEA,Payne Elementary School,Payne Elementary School
Kimball Elementary,2017-0243,Aga inst LEA,Payne Elementar y Schoo l,Payne Elementary School
Kimball Elementary,2017-0243,Aga inst LEA,Payne Elementary Schoo l,Payne Elementary School
09/07/20 17,09/07/20 17,09/07/20 17,09/07/20 17,09/07/20 17
09/08/2017,09/08/2017,09/08/2017,09/08/2017,09/08/2017
09/11/2017,09/11/2017,09/11/2017,09/11/2017,09/11/2017
09/12/2017,09/12/2017,09/12/2017,09/12/2017,09/12/2017
09/14/2017,09/14/2017,09/14/2017,09/14/2017,09/14/2017
09/15/20 17,09/15/20 17,09/15/20 17,09/15/20 17,09/15/20 17
09/18/2017,09/18/2017,09/18/2017,09/18/2017,09/18/2017
09/2 1/2017,09/2 1/2017,09/2 1/2017,09/2 1/2017,09/2 1/2017
09/22/20 17,09/22/20 17,09/22/20 17,09/22/20 17,09/22/20 17
09/25/2017,09/25/2017,09/25/2017,09/25/2017,09/25/2017
09/26/2017,09/26/2017,09/26/2017,09/26/2017,09/26/2017
09/28/20 17,09/28/20 17,09/28/20 17,09/28/20 17,09/28/20 17
09/28/20 17,09/28/20 17,09/28/20 17,Dunba r High Schoo l,09/28/20 17
09/28/20 17,09/28/20 17,09/28/20 17,Columbia Heights Educat ion Center High Schoo l,09/28/20 17
09/28/20 17,09/28/20 17,09/28/20 17,Columb ia Heights Educat ion Cente r High School,09/28/20 17
Washington Math Science Technology Public,09/28/20 17,09/28/20 17,Columb ia Heights Educat ion Cente r High School,09/28/20 17
Washington Math Science Technology Public,2017-0266,Aga inst LEA,Columb ia Height s Educat ion Center High School,Roosevelt High School
Charter Schoo l,2017-0266,Aga inst LEA,Columb ia Height s Educat ion Center High School,Roosevelt High School
Charter Schoo l,2017-0266,Aga inst LEA,Columbia Heigh ts Educat ion Center High Schoo l,Roosevelt High School
Charter Schoo l,2017-0266,Aga inst LEA,Garfi eld ES,Roosevelt High School
Center City PCS,2017-0267,Aga inst LEA,Garfi eld ES,Garf iel d ES
Friendship Publ ic Charte r Schoo l (all campuses),2017-0269,Aga inst LEA,Garfi eld ES,OTHER
Friendship Publ ic Charte r Schoo l (all campuses),2017-0269,Aga inst LEA,Hardy MS@ Hamil ton School,OTHER
Hardy MS@ Hamilto n School,2017-0268,Aga inst LEA,Hardy MS@ Hamil ton School,OTHER
Hardy MS@ Hamilto n School,2017-0268,Aga inst LEA,Hardy MS@ Hamilto n Schoo l,OTHER
Hardy MS@ Hamilto n School,2017-0268,Aga inst LEA,Ballou Senior High Schoo l,OTHER
Bal lou Senio r High School,2017-0265,Expedited Discip line,Ballo u Sen ior High School,OTHER
Bal lou Senio r High School,2017-0265,Expedited Discip line,Ballou Senior High School,OTHER
Bal lou Senio r High School,2017-0265,Expedited Discip line,Hart Mi ddle School,OTHER
Bal lou Senio r High School,2017-0265,Expedited Discip line,Hart M iddle School,OTHER
Ballou Senio r High Schoo l,2017-0270,Against LEA,Hart Midd le School,Ballou Senior High Schoo l
Ballou Senio r High Schoo l,2017-0270,Against LEA,Hart M iddl e School,Ballou Senior High Schoo l
Ballou Senio r High Schoo l,2017-0270,Against LEA,Hart Mi ddle School,Ballou Senior High Schoo l
Ballou Senio r High Schoo l,2017-0270,Against LEA,Hart M iddle School,Ballou Senior High Schoo l
Ballou Senio r High Schoo l,2017-0270,Expedited NON,Hart M iddle School,Ballou Senior High Schoo l
OTHER,2017-0271,Expedited NON,Hart M iddle School,OTHER
OTHER,2017-0271,Discipline,Hart M iddle School,OTHER
OTHER,2017-0271,Discipline,McKinley Techno logy High,OTHER
OTHER,2017-0271,Discipline,McKinley Tech nology High,OTHER
Eastern High Schoo l,2017-0272,Again st LEA,McKinley Tech nology High,Eastern High School
Eastern High Schoo l,2017-0272,Again st LEA,Mc Kinley Technology High,Eastern High School
Eastern High Schoo l,2017-0272,Again st LEA,McKinl ey Technology High,Eastern High School
Eastern High Schoo l,2017-0272,Again st LEA,Wa lker-Jone s/T urner EC,Eastern High School
Eastern High Schoo l,2017-0272,Again st LEA,Wa lker-Jones/Tu rner EC,Eastern High School
Eastern High Schoo l,2017-0272,Again st LEA,Wa lker-Jones/T urner EC,Eastern High School
OTHER,2017-0274,Again st LEA,Wa lker-Jones/T urner EC,Seaton Element ary School
OTHER,2017-0274,Again st LEA,Wa lker-Jones/Turner EC,Seaton Element ary School
OTHER,2017-0274,Again st LEA,Wa lker-Jone s/T urner EC,Seaton Element ary School
OTHER,2017-0274,Again st LEA,Wa lker-Jones/Tu rner EC,Seaton Element ary School
OTHER,2017-0274,Again st LEA,St. Coletta Special Educat ion PCS,Seaton Element ary School
OTHER,2017-0274,Again st LEA,St. Colett a Special Educat ion PCS,Seaton Element ary School
OTHER,2017-0274,Again st LEA,St. Coletta Special Educat ion PCS,H.D. Woodso n Senior High
Non-Attend ing,2017-0273,Aga inst LEA,St. Coletta Special Educat ion PCS,H.D. Woodso n Senior High
Non-Attend ing,2017-0273,Aga inst LEA,St. Coletta Specia l Educat ion PCS,Schoo l
Non-Attend ing,2017-0273,Aga inst LEA,St. Coletta Special Educat ion PCS,Schoo l
Non-Attend ing,2017-0273,Aga inst LEA,St. Coletta Special Education PCS,Schoo l
Non-Attend ing,2017-0273,Aga inst LEA,Watk ins Elementary School,Schoo l
SEEDP CS,2017-0276,Against LEA,Watk ins Elementary School,Hart M iddle School
The Chi ldren 's Gui ld DC PCS,2017-0275,Against LEA,Watk ins Elementary School,Hart M iddle School
The Chi ldren 's Gui ld DC PCS,2017-0275,Against LEA,Whittie r Elementa ry School,Hart M iddle School
The Chi ldren 's Gui ld DC PCS,2017-0275,Against LEA,Whittie r Elementa ry School,Francis-StevensE ducation
OTHER,2017-0277,Against LEA,Whittie r Elementa ry School,Francis-StevensE ducation
OTHER,2017-0277,Against LEA,Whittie r Elementa ry School,Center
OTHER,2017-0277,Against LEA,Whittier Elementa ry School,Center
OTHER,2017-0277,Against LEA,Key Elementary School,Center
Lab School of Washington,2017-0279,Against LEA,Key Elementary School,Key Elementa ry School
Perry Street Preparatory PCS,2017-0278,Against LEA,Key Elementary School,Key Elementa ry School
Perry Street Preparatory PCS,2017-0278,Against LEA,Janney Elementary School,Key Elementa ry School
Lab School of Washington,2017-0282,Against LEA,Janney Elementary School,Janney Elementary School
Lab School of Washington,2017-0282,Against LEA,Murch Elementary School,Janney Elementary School
Lab School of Washington,2017-0282,Against LEA,Murc h Elementary School,Janney Elementary School
OTHER,2017-0281,Against LEA,Murc h Elementary School,Mu rch Elementary School
OTHER,2017-0281,Against LEA,Murch Elementary School,Mu rch Elementary School
OTHER,2017-0281,Against LEA,Murch Elementa ry School,Mu rch Elementary School
OTHER,2017-0281,Against LEA,Regina ld Lour ie Cente r School,Mu rch Elementary School
OTHER,2017-0281,Against LEA,Reginald Lour ie Center School,Mu rch Elementary School
Phill ips School,2017-0283,Against LEA,Reginald Lou rie Cente r School,Sousa Midd le School
Phill ips School,2017-0283,Against LEA,Reginald Lourie Center School,Sousa Midd le School
Phill ips School,2017-0283,Against LEA,Regina ld Lour ie Cente r School,Sousa Midd le School
Phill ips School,2017-0283,Against LEA,Wilson Senior High School,Sousa Midd le School
W ilson Senior High School,2017-0284,Against LEA,Wilson Senior High School,Coolidge High School
W ilson Senior High School,2017-0284,Against LEA,Key Elementary School,Coolidge High School
Lab School of Washington,2017-028S,Against LEA,Key Elementary School,Key Elementa ry School
Lab School of Washington,2017-028S,Against LEA,Leckie Elementary School,Key Elementa ry School
Leckie Elemen tary School,2017-0286,Aga inst LEA,Leckie Elementary School,Leckie Elemen tary School
Columb ia Heights Educati on Center High Schoo l,2017-0289,Aga inst LEA,Columb ia Heights Educat ion Center High School,Leckie Elemen tary School
Columb ia Heights Educati on Center High Schoo l,2017-0289,Aga inst LEA,Hardy MS@ Hami lt on School,Leckie Elemen tary School
Hardy MS@ Hamilton Schoo l,2017-0288,Against LEA,Hardy MS@ Hami lt on School,Leckie Elemen tary School
Hardy MS@ Hamilton Schoo l,2017-0288,Against LEA,Hardy MS@ Hamilto n School,Leckie Elemen tary School
Hardy MS@ Hamilton Schoo l,2017-0288,Against LEA,LaSalle-Backus EC,Leckie Elemen tary School
LaSalle-Backus EC,2017-028 7,Aga inst LEA,LaSalle-Backus EC,LaSalle-Backus EC
LaSalle-Backus EC,2017-028 7,Aga inst LEA,LaSalle-Backus EC,Was hington Leadership
Washi ngton Leadership Acade my PCS,2017-0290,Expedite d Discip line,LaSalle-Backus EC,Was hington Leadership
Washi ngton Leadership Acade my PCS,2017-0290,Expedite d Discip line,LaSalle-Backus EC,Academy PCS
Washi ngton Leadership Acade my PCS,2017-0290,Expedite d Discip line,Watk ins Elementary School,Academy PCS
Watkins Elementary,2017-0291,Aga inst LEA,Watk ins Elementary School,Academy PCS
Watkins Elementary,2017-0291,Aga inst LEA,Watkins Elementary School,Academy PCS
Watkins Elementary,2017-0291,Aga inst LEA,Watk ins Elemen tary School,Academy PCS
Watkins Elementary,2017-0291,Aga inst LEA,Lab Schoo l of Wash ington,Academy PCS
Watkins Elementary,2017-0291,Aga inst LEA,Lab Schoo l of Washington,Academy PCS
Lab School of Was hington,2017-0292,Aga inst LEA,Lab Schoo l of Wash ington,Wi lson Senior High School
Lab School of Was hington,2017-0292,Aga inst LEA,Lab Schoo l of Washington,Wi lson Senior High School
Lab School of Was hington,2017-0292,Aga inst LEA,Krame r M iddle School,Wi lson Senior High School
Kramer M idd le Schoo l,2017-0293,Aga inst LEA,Krame r M idd le Schoo l,Hart M idd le Schoo l
Kramer M idd le Schoo l,2017-0293,Aga inst LEA,Kramer M iddle School,Hart M idd le Schoo l
Kramer M idd le Schoo l,2017-0293,Aga inst LEA,Cardozo High School,Hart M idd le Schoo l
Kramer M idd le Schoo l,2017-0293,Aga inst LEA,Cardozo High Schoo l,Hart M idd le Schoo l
Cardozo High Schoo l,2017-0294,Aga inst LEA,Cardozo High Schoo l,Roosevelt High School
Cardozo High Schoo l,2017-0294,Aga inst LEA,Wilson Senior High School,Roosevelt High School
Wilson Senior High Schoo l,2017-0296,Aga inst LEA,Wil son Senior High School,Ballou Senior High Schoo l
Wilson Senior High Schoo l,2017-0296,Aga inst LEA,Wilson Senior High School,Ballou Senior High Schoo l
Wilson Senior High Schoo l,2017-0296,Aga inst LEA,Moten Elementary School @ Wilkinson,Ballou Senior High Schoo l
Wilson Senior High Schoo l,2017-0296,Aga inst LEA,Moten Elementa ry Schoo l @ Wilkinson,Moten Elementary School@
Moten Elementary School @ Wi lkinson,2017-029S,Against LEA,Moten Elementa ry Schoo l @ Wilkinson,Moten Elementary School@
Moten Elementary School @ Wi lkinson,2017-029S,Against LEA,Moten Elementary School @ Wilkinson,Wilkinson
Moten Elementary School @ Wi lkinson,2017-029S,Against LEA,Lab School of Washington,Wilkinson
Moten Elementary School @ Wi lkinson,2017-029S,Against LEA,Lab School of Washington,Columb ia Heights Education
Lab School of Washington,2017-0297,Against LEA,Lab School of Washington,Columb ia Heights Education
Lab School of Washington,2017-0297,Against LEA,Lab School of Washington,Center High School
Washington Global Public Charter School,2017-0298,Against LEA,Lab School of Washington,Center High School
Tyler Elementary School,2017-0300,Against LEA,Tyler Elementary School,Tyler Elementary School
Tyler Elementary School,2017-0299,Against LEA,Tyler Elem entary School,Tyler Elementary School
KIPP( All Campuses),2017-0302,Against LEA,Tyler Elem entary School,KIPP (All Campuses)
KIPP( All Campuses),2017-0302,Against LEA,Hardy MS@ Hamilton School,KIPP (All Campuses)
Hardy MS@ Hamilton School,2017-0301,Against LEA,Hardy MS@ Hamilton School,Jefferson MS
Hardy MS@ Hamilton School,2017-0301,Against LEA,Ballou Senior High School,Jefferson MS
Ballou Senior High School,2017-0304,Expedited Discipline,Ballou Senior High School,Jefferson MS
Ballou Senior High School,2017-0304 -8,Against LEA,Ballou Senior High School,Jefferson MS
Ballou Senior High School,2017-0304 -8,Against LEA,Jefferson MS,Jefferson MS
Lab School of Washington,2017-03 03,Against LEA,Jefferson MS,Jefferson MS
Lab School of Washington,2017-03 03,Against LEA,Jeff erson MS,Jefferson MS
McKinley MS,2017-03 06,Against LEA,McKinley MS,Sousa Midd le School
McKinley MS,2017-03 06,Against LEA,Brookland MS,Sousa Midd le School
Broo kland MS,2017-0305,Against LEA,Brookland MS,Sousa Midd le School
Broo kland MS,2017-0305,Against LEA,Brook land MS,Sousa Midd le School
Broo kland MS,2017-0305,Against LEA,Wilson Senior High School,Sousa Midd le School
Non -At tend ing,2017-0309,Aga inst LEA,Wilson Senior High School,Wilson Senio r High School
Non -At tend ing,2017-0309,Aga inst LEA,Accotink Academy,Wilson Senio r High School
Accot ink Academy,2017-0308,Aga inst LEA,Accotink Academy,Wilson Senio r High School
Lab School of Was hington,2017-0307,Aga inst LEA,Accotink Academy,Two Rivers PCS
DC Preparatory,2017-0310,Aga inst LEA,Accotink Academy,Ma lcolm X ES
DC Preparatory,2017-0310,Aga inst LEA,Eastern High School,Ma lcolm X ES
Eastern High Schoo l,2017-03 11,Aga inst LEA,Eastern High School,Eastern High Schoo l
Eastern High Schoo l,2017-03 11,Aga inst LEA,Bruce Mon roe ES@ Park View,Eastern High Schoo l
Bruce Monroe ES@ Park View,2017-0312,Aga inst LEA,Bruce Mon roe ES@ Park View,Bruce Monroe ES @ Park View
Bruce Monroe ES@ Park View,2017-0312,Aga inst LEA,Bruce Monroe ES@ Park View,Bruce Monroe ES @ Park View
Washi ngton Leaders hip Acade my PCS,2017-0313,Aga inst LEA,Bruce Monroe ES@ Park View,Bruce Monroe ES @ Park View
Washi ngton Leaders hip Acade my PCS,2017-0313,Aga inst LEA,Eastern High School,Bruce Monroe ES @ Park View
Easte rn High School,2017-0314,Aga inst LEA,Eastern High School,Eastern High School
Easte rn High School,2017-0314,Aga inst LEA,Key Elementary School,Eastern High School
Key Element ary Schoo l,2017-0315,Aga inst LEA,Key Elementary School,Key Eleme ntary School
Key Element ary Schoo l,2017-0315,Aga inst LEA,Francis•StevensE ducationC enter,Key Eleme ntary School
Key Element ary Schoo l,2017-0315,Aga inst LEA,Francis-Stevens Education Center,Francis-Stevens Education
OTHER,2017-0316,Against LEA,Francis-Stevens Education Center,Francis-Stevens Education
OTHER,2017-0316,Against LEA,Francis-StevensE ducation Center,Center
OTHER,2017-0316,Against LEA,Francis-Stevens Education Center,Center
Bridges PCS,2017-0318,Aga inst LEA,Francis-Stevens Education Center,Bridges PCS
Bridges PCS,2017-0318,Aga inst LEA,Turne r @ Green Elementary,Turner@ Green Eleme ntary
Turner @ Green Elemen tary Schoo l,2017-0317,Aga inst LEA,Turne r @ Green Elementary,Turner@ Green Eleme ntary
Turner @ Green Elemen tary Schoo l,2017-0317,Aga inst LEA,Turn er @ Green Elementary,School
Democracy Prep Publ ic Charte r Schoo l,2017-0320,Aga inst LEA,Turn er @ Green Elementary,Simon Elementary Schoo l
Democracy Prep Publ ic Charte r Schoo l,2017-0320,Aga inst LEA,Turn er @ Green Elementary,Was hington Lead ership
Washi ngton Leadership Academy PCS,2017-0319,Exped ited Discip line,Turn er @ Green Elementary,Was hington Lead ership
Washi ngton Leadership Academy PCS,2017-0319,Exped ited Discip line,Turn er @ Green Elementary,Academy PCS
Washi ngton Leadership Academy PCS,2017-0319,Exped ited Discip line,Turn er @ Green Elementary,·• . •:· - :
"M c Km  Ie y T ech  noo gy H, g h SC h 0 0 I",2017-0321,A gainst  LEA,Turn er @ Green Elementary,·• . •:· - :
"M c Km  Ie y T ech  noo gy H, g h SC h 0 0 I",2017-0321,A gainst  LEA,Truesde ll Elementary,·• . •:· - :
"M c Km  Ie y T ech  noo gy H, g h SC h 0 0 I",2017-0321,A gainst  LEA,Truesdel l Elem entary,·• . •:· - :
"M c Km  Ie y T ech  noo gy H, g h SC h 0 0 I",2017-0321,A gainst  LEA,Truesdell Elementary,·• . •:· - :
lvymoun t,2017-0322,Against LEA,Truesdel l Elementary,Deal M iddle School
lvymoun t,2017-0322,Against LEA,Truesdel l Elem entary,Deal M iddle School
lvymoun t,2017-0322,Against LEA,Miner Elementary,Deal M iddle School
Mi ner Elementary,2017-0323,Against LEA,Miner Elementary,Deal M iddle School
Aiton Elementary School,2017-0324,Against LEA,Elementary School,Deal M iddle School
Aiton Elementary School,2017-0325,Against LEA,Elementar y School,Deal M iddle School
Incarcerat ed Youth Program Correct ional,2017-0325,Against LEA,Elementar y School,Deal M iddle School
Incarcerat ed Youth Program Correct ional,2017-0326,Against LEA,Elementar y School,Roosevelt 5.T.A.Y High School
Detention Facility,2017-0326,Against LEA,Elementar y School,Roosevelt 5.T.A.Y High School
OTHER,2017-0327,Against LEA,Elementar y School,Man n Elementary School
OTHER,2017-0327,Against LEA,Accotink Academy,Man n Elementary School
Accot ink Academy,2017-0328,Against LEA,Accotink Academy,Ballou Senior High School
Accot ink Academy,2017-0328,Against LEA,Accot ink Academy,Ballou Senior High School
High Road PG,2017-0329,Against LEA,Accot ink Academy,Anacostia Senior High School
High Road PG,2017-0329,Against LEA,Key Elementary School,Anacostia Senior High School
Lab School of Wa shington,2017-0331,Aga inst LEA,Key Elementary School,Key Eleme ntary School
Lab School of Wa shington,2017-0331,Aga inst LEA,Key Element ary School,Key Eleme ntary School
Lab School of Wa shington,2017-0331,Aga inst LEA,Watk ins Elementary School,Key Eleme ntary School
Wat kins Elementary,2017-0330,Aga inst LEA,Watk ins Elemen tary School,Key Eleme ntary School
Wat kins Elementary,2017-0330,Aga inst LEA,Watk ins Elementary School,Key Eleme ntary School
Wat kins Elementary,2017-0330,Aga inst LEA,Anacost ia Senior High Schoo l,Key Eleme ntary School
Anacosti a Senior High School,2017-0333,Aga inst LEA,Anacost ia Sen ior High Schoo l,Anacost ia Senior High School
Anacosti a Senior High School,2017-0333,Aga inst LEA,Anacost ia Senior High School,Anacost ia Senior High School
Anacosti a Senior High School,2017-0333,Aga inst LEA,Payne Elementary School,Anacost ia Senior High School
Anacosti a Senior High School,2017-0333,Aga inst LEA,Payne Elementary Schoo l,Anacost ia Senior High School
Payne Elementary,2017-0332,Aga inst LEA,Payne Elementary Schoo l,Anacost ia Senior High School
Payne Elementary,2017-0332,Aga inst LEA,Payne Elementary School,Anacost ia Senior High School
Harmony,2017-0335,Aga inst LEA,Payne Elementary Schoo l,Harmony DC PCS
Harmony,2017-0335,Aga inst LEA,Eliot -Hine M iddle School,Harmony DC PCS
Harmony,2017-0335,Aga inst LEA,Eliot-H ine M iddle School,Harmony DC PCS
Harmony,2017-0335,Aga inst LEA,El iot -Hine M iddle Schoo l,Harmony DC PCS
Harmony,2017-0335,Expedi t ed NON,El iot -Hine M iddle Schoo l,Harmony DC PCS
El iot -Hine M idd le School,2017-0334,Expedi t ed NON,El iot-H ine Middle School,Harmony DC PCS
El iot -Hine M idd le School,2017-0334,Discipline,El iot-H ine Middle School,Harmony DC PCS
El iot -Hine M idd le School,2017-0334,Discipline,El iot -Hine M iddle School,Harmony DC PCS
El iot -Hine M idd le School,2017-0334,Discipline,Eliot-H ine M iddle School,Harmony DC PCS
El iot -Hine M idd le School,2017-0334,Discipline,El iot -Hine Middle School,Harmony DC PCS
Monument Academy PCS,2017-0336,Aga inst LEA,El iot -Hine Middle School,OTHER
Monument Academy,2017-0337,Aga inst LEA,El iot -Hine Middle School,Monument Academy PCS
Monument Academy,2017-0337,Aga inst LEA,River Terrace EC,Monument Academy PCS
Rive r Terrace EC,2017-0339,Aga inst LEA,River Terrace EC,Cardozo Educat iona l Camp us
Rive r Terrace EC,2017-0339,Aga inst LEA,Wilson Senior High School,Cardozo Educat iona l Camp us
W ilson Sen ior High Schoo l,2017-0340,Aga inst LEA,Wilson Senior High School,Wilson Senio r High School
W ilson Sen ior High Schoo l,2017-0340,Aga inst LEA,Wi lson Senior High School,Wilson Senio r High School
W ilson Sen ior High Schoo l,2017-0340,Aga inst LEA,Wilson Senior High School,DC Scholars Publ ic Charter
DC Schol ars Public Charter Schoo l,2017-0338,Aga inst LEA,Wilson Senior High School,DC Scholars Publ ic Charter
DC Schol ars Public Charter Schoo l,2017-0338,Aga inst LEA,Wilson Senior High School,School
Bridges PCS,2017-0342,Aga inst LEA,Wilson Senior High School,School
Bridges PCS,2017-0342,Aga inst LEA,Stuart-Hobson M iddle Schoo l,School
Stuart -Hobson M idd le School,2017-0341,Aga inst LEA,Stuart-Hobson M iddle Schoo l,Stuart -Hobson Midd le School
Stuart -Hobson M idd le School,2017-0341,Aga inst LEA,Stuart-Hobson M iddle School,Stuart -Hobson Midd le School
Ach ievement Prep Academy Publ ic Charte r School,2017-0344,Aga inst LEA,Stuart-Hobson M iddle School,Hart M iddle Schoo l
Ach ievement Prep Academy Publ ic Charte r School,2017-0344,Aga inst LEA,Stuart-Hobson M iddle School,IDEAL Academy PCS( all
IDEAL Acade my PCS( all campuses),2017-0343,Aga inst LEA,Stuart-Hobson M iddle School,IDEAL Academy PCS( all
IDEAL Acade my PCS( all campuses),2017-0343,Aga inst LEA,Stuart-Hobson M iddle School,campuses)
IDEAL Acade my PCS( all campuses),2017-0343,Aga inst LEA,Truesdel l Elemen tary,campuses)
Truesde ll Elementary,2017-0348,Aga inst LEA,Truesdel l Elemen tary,Truesde ll Elementary
Truesde ll Elementary,2017-0348,Aga inst LEA,Truesdel l Elementary,Truesde ll Elementary
Payne Elementary,2017-0346,Aga inst LEA,Truesdel l Elemen tary,Payne Eleme nta ry School
Payne Elementary,2017-0345,Aga inst LEA,Truesdel l Elemen tary,Payne Eleme ntary School
Payne Elementary,2017-0345,Aga inst LEA,Bruce Monroe ES@  Park View,Payne Eleme ntary School
Bruce Monroe ES@ Park View,2017-0347,Aga inst LEA,Bruce Monroe ES@  Park View,Bruce Mo nroe ES @ Park View
Bruce Monroe ES@ Park View,2017-0347,Aga inst LEA,Bruce Monroe ES@ Park View,Bruce Mo nroe ES @ Park View
Bruce Monroe ES@ Park View,2017-0347,Aga inst LEA,Raymond Education Campus,Bruce Mo nroe ES @ Park View
Raymon d Education,2017-0349,Aga inst LEA,Raymond Education Campus,Bruce Mo nroe ES @ Park View
Raymon d Education,2017-0349,Aga inst LEA,Raymond Educa t ion Campus,Bruce Mo nroe ES @ Park View
Raymon d Education,2017-0349,Aga inst LEA,H.D. Woodson Senior High School,Bruce Mo nroe ES @ Park View
Raymon d Education,2017-0349,Aga inst LEA,H.D. Woodson Senior High School,H.D. Woodson Senior High
Non-Attend,2018-0001,Aga inst LEA,H.D. Woodson Senior High School,H.D. Woodson Senior High
Non-Attend,2018-0001,Aga inst LEA,H.0. Woodson Senior High School,H.D. Woodson Senior High
Non-Attend,2018-0001,Aga inst LEA,H.0. Woodson Senior High School,Creative Minds International
Lab Schoo l of Was hington,2018--0002,Aga inst LEA,H.0. Woodson Senior High School,Creative Minds International
Lab Schoo l of Was hington,2018--0002,Aga inst LEA,H.0. Woodson Senior High School,PCS
Lab Schoo l of Was hington,2018--0002,Aga inst LEA,Brook land MS,PCS
Brookland,2018--0003,Aga inst LEA,Brook land MS,Brookland MS
Brookland,2018--0003,Aga inst LEA,Brookland MS,Brookland MS
Broo kland MS,2018--0004,Aga inst LEA,Brookland MS,Was hing ton Lat in Midd le PCS
Am idon Elementa ry School,2018--0005,By LEA,Brookland MS,Amidon Elem entary School
Am idon Elementa ry School,2018--0005,By LEA,Am idon Elementary School,Amidon Elem entary School
Am idon Elementa ry School,2018--0005,By LEA,Am idon Elementary Schoo l,Amidon Elem entary School
Am idon Eleme ntary School,2018--0006,Aga inst LEA,Am idon Elementary Schoo l,Amidon Elemen tary Schoo l
Am idon Eleme ntary School,2018--0006,Aga inst LEA,Am idon Elementary School,Amidon Elemen tary Schoo l
Am idon Eleme ntary School,2018--0006,Aga inst LEA,Brook land MS,Amidon Elemen tary Schoo l
Brookland,2018--0007,Aga inst LEA,Brook land MS,McK inley MS
Brookland,2018--0007,Aga inst LEA,River Terrace EC,McK inley MS
River Terrace EC,2018--0008,Aga inst LEA,River Terrace EC,River Terrace EC
River Terrace EC,2018--0008,Aga inst LEA,Dunba r High School,River Terrace EC
River Terrace EC,2018--0008,Aga inst LEA,Dunba r High Schoo l,River Terrace EC
River Terrace EC,2018--0008,Aga inst LEA,Dunbar High School,River Terrace EC
Dunbar High School,2018--0009,Aga inst LEA,Dunbar High School,Dunbar High School
Dunbar High School,2018--0009,Aga inst LEA,Dunba r High Schoo l,Dunbar High School
Dunbar High School,2018--0009,Aga inst LEA,Dorothy Heights ES,Dunbar High School
Dorothy Heights ES,2018--0010,Aga inst LEA,Dorothy Heights ES,Dunbar High School
Dorothy Heights ES,2018--0010,Aga inst LEA,Dorothy Heigh ts ES,Dunbar High School
Dorothy Heights ES,2018--0010,Aga inst LEA,Ballou Senior High School,Dunbar High School
Ballou Senio r High School,2018--0011,Aga inst LEA,Ballou Senior High School,Ballou Senio r High School
Ballou Senio r High School,2018--0011,Aga inst LEA,Bunker Hill Eleme ntary Schoo l,Ballou Senio r High School
Bunker Hill Eleme ntary School,2018-00 14,Aga inst LEA,Bunker Hill Elementary School,Bunker Hill Eleme nta ry School
Bunker Hill Eleme ntary School,2018-00 14,Aga inst LEA,Bunker Hill Elementary Schoo l,Bunker Hill Eleme nta ry School
Bunker Hill Eleme ntary School,2018-00 14,Aga inst LEA,"Wilson J, 0. ES",Bunker Hill Eleme nta ry School
Bunker Hill Eleme ntary School,2018-00 14,Aga inst LEA,Wi lson J. 0. ES,Bunker Hill Eleme nta ry School
Wilson J. 0.,2018-0012,Aga inst LEA,WilsonJ. 0. ES,Patterso n ES
Wilson J. 0.,2018-0012,Aga inst LEA,Wilson J. 0. ES,Patterso n ES
Mary McLeod Bethune,2018-0013,Expedited Discip line,Wilson J. 0. ES,Wheat ley EC
Mary McLeod Bethune,2018-0013,Expedited Discip line,Wilson J. 0. ES,"u1 . ... , , ~ ..... .... .. ,_ ., ,_"
Turner @ Green Elem enta ry School,2018-0 015,Aga inst LEA,Turne r @ Green Elementary,"u1 . ... , , ~ ..... .... .. ,_ ., ,_"
Turner @ Green Elem enta ry School,2018-0 015,Aga inst LEA,Mo nroe School,"u1 . ... , , ~ ..... .... .. ,_ ., ,_"
Monro e School,2018-0 016,Aga inst LEA,Mo nroe School,"u1 . ... , , ~ ..... .... .. ,_ ., ,_"
Monro e School,2018-0 016,"-a~cu,.cu v,, "" ~""""""",Mo nroe School,"u1 . ... , , ~ ..... .... .. ,_ ., ,_"
E.L. Haynes PCS,2018-0017,"-a~cu,.cu v,, "" ~""""""",Mo nroe School,"u1 . ... , , ~ ..... .... .. ,_ ., ,_"
E.L. Haynes PCS,2018-0017,n. r,Mo nroe School,"u1 . ... , , ~ ..... .... .. ,_ ., ,_"
E.L. Haynes PCS,2018-0017,n. r,River Terrace EC,"u1 . ... , , ~ ..... .... .. ,_ ., ,_"
